source,target,value
Europe,Sovietsatellite,5
Europe,Stalin,5
Europe,World,6
Europe,the,24
Europe,theIron,6
Europe,thecommunistSoviet,6
Europe,two,6
Europe:[188,Western,6
Europe:[188,theAdriatican,6
European,Stalin,6
European,Vladimir,6
European,World,5
European,decades,6
European,theNigerian,6
Exile,World,4
Exile,seePolish,6
Fat,Japanese,6
Fat,Little,6
Finland,Soviet,6
Finland,war.[42]Stalin,6
Finnish,Soviet,6
Finnish,theWinter,6
Finns,Germany,6
Finns,theWinter,6
First,Germans,6
First,the,5
Fortress,Stalin,6
Fortress,the,6
France,Great,6
France,Hitler,12
France,MarshalPhilippe,6
France,Poland,6
France,Rommel,6
France,U.S.,6
France,about,6
France,one,6
France,only,6
France,the,12
France,theBritish,6
France,theRussian,6
France,theUnited,6
France.[54]At,Hitler,6
France.[54]At,Italy,6
Franco,theMaginot,6
Franklin,Winston,6
French,GeneralCharles,6
French,Indochina,6
French,Italians,6
French,Marshal,6
French,a,6
French,the,6
Gemini,andApolloprograms,6
Gemini,itsMercury,6
GeneralCharles,Hitler,6
GeneralFrancisco,theSpanish,6
German,Germans,16
German,Germany,12
German,Hermann,5
German,Hitler,6
German,Jews,6
German,Joseph,6
German,Mussolini,12
German,Paris,5
German,Stalingrad,6
German,TheNazi,5
German,U,5
German,US,6
German,West,5
German,newItalian,11
German,the,22
German,theLuftwaffe,6
German,theMunich,6
German,theNuremberg,6
German,theSudetenland,6
German,theWehrmacht,12
GermanWehrmachtto,Moscow,6
GermanWehrmachtto,Soviet,6
Germans,Holocaust,5
Germans,Jews,6
Germans,MarshalGeorgy,6
Germans,May,6
Germans,Moscow.[67],6
Germans,Netherlands,6
Germans,RAF,6
Germans,Rommel,6
Germans,Sea,6
Germans,Soviets,6
Germans,Stalin,5
Germans,Stalingrad,5
Germans,V-2,5
Germans,Versailles,6
Germans,World,6
Germans,another,6
Germans,mistressEva,6
Germans,second,5
Germans,the,5
Germans,theHerrenvolkor,6
Germany,Hitler,17
Germany,Italy,6
Germany,Jews,5
Germany,Joseph,6
Germany,May,6
Germany,Oblastin,10
Germany,Poland,12
Germany,Russia,5
Germany,TheNazi,6
Germany,U.S.,6
Germany,USSR,6
Germany,first,6
Germany,four,6
Germany,the,17
Germany,theBaltic,6
Germany,theMarshall,5
Germany,theMolotov,6
Germany,theTrinity,6
Germany,theTripartite,12
Gorbachev,Soviet,6
Great,Greece.[56][57,6
Great,Northern,6
Great,Sea,5
Great,the,6
Greece,Greeks,6
Greece,Hitler,6
Greece,Mussolini,6
Greece,Yugoslavia,6
Greece.[56][57,Nazis,6
Greeks,several,6
Guinea,the,6
Harborin,the,6
Hermann,Hitler,6
Hiroshima,Three,5
Hiroshima,Tinian,6
Hitler,Holocaust,6
Hitler,Japan,6
Hitler,Paris,6
Hitler,Poland,17
Hitler,Polish-Soviet,5
Hitler,Secondly,5
Hitler,September,5
Hitler,Soviets,5
Hitler,Stalin,6
Hitler,World,5
Hitler,Yugoslavia,6
Hitler,early,5
Hitler,first,18
Hitler,hisBlitzkrieg,6
Hitler,one,12
Hitler,second,11
Hitler,the,58
Hitler,theChancellerygarden,6
Hitler,theWehrmachthad,5
Holocaust,miles.[148]A,6
Holocaust,millions,6
Holocaust,the,6
Hong,Singapore,6
Hong,Wake,6
HungaryandEast,Soviet,6
IBM,itsIBM,5
IBM,third,6
Imperial,Tsarist,6
Incidentof,theMukden,6
India,Mahatma,6
India,Pakistan,6
India,thePeople's,6
Indiaand,Pacific,6
Indiaand,theJapanese,6
Islands,Japan,6
Islands,this,6
IsraelandNorth,Pakistan,6
IsraelandNorth,six,6
Italian,North,6
Italians,Italy,6
Italians,July,6
Italians,Libya,6
Italians,Mussolini,6
Italians,Nazis,6
Italy,Mussoliniin,6
Italy,first,6
Italy,half,6
Italy,the,12
Italy,underBenito,6
Iwo,Japanese,6
Iwo,Okinawa,6
Iwo,theMariana,6
Japan,Japanese,17
Japan,July,5
Japan,North,5
Japan,Operation,6
Japan,Russia,6
Japan,The,5
Japan,U.S.,6
Japan,US,12
Japan,World,12
Japan,carriers.[113]In,6
Japan,first,6
Japan,million,6
Japan,newBoeing,6
Japan,one,6
Japan,second,6
Japan,the,24
Japan,theBattle,6
Japan,theMariana,5
Japan,theTripartite,12
Japan,third,6
Japanese,Leyte,6
Japanese,Navydefeated,6
Japanese,Soviet,6
Japanese,Stalingrad,6
Japanese,The,11
Japanese,United,6
Japanese,Wake,5
Japanese,between,6
Japanese,dozens,6
Japanese,early,5
Japanese,first,6
Japanese,inBurma,6
Japanese,more,6
Japanese,one,6
Japanese,the,18
Japanese,theMarco,6
Japanese,thePotsdam,11
Japanese,theSouth,6
Japanese,two,5
Japanesepuppet,the,6
Jehovah's,Jews,6
Jehovah's,several,6
Jews,Nazi,6
Jews,Poland,6
Jews,Western,6
Jews,World,6
Jews,an,12
Jews,millions,6
Jews,seeHuman,6
Jews,six,6
Jews,tens,6
Jews,the,18
Jews,theHerrenvolkor,6
Jews,theHolocaustAdolf,6
Jews,theSoviet,6
Jews,theThird,6
Joseph,Nazis,6
Joseph,a,6
Joseph,theSoviet,6
July,Mussolini,5
July,November,6
July,The,6
July,U.N.,6
July,the,6
July,two,6
Korea,North,5
Korea,The,5
Korea,United,6
Korea,two,6
Koreaand,People's,6
Koreaand,United,6
Koreas,second,6
Koreas,two,6
Latvia,andLithuania,6
Leyte,World,6
Leyte,first,6
Leyte,theBattle,6
Libya,a,5
Little,two,6
London,Polish,6
London,seePolish,6
Luftwaffe,Sea,6
Macht,six,6
Mahatma,achieveIndian,6
Manchukuo,the,6
March,Philippines,6
March,Winston,6
March,the,12
March,theSolomon,6
Marines,US,6
Marines,the,6
MarshalGeorgy,Stalin,5
MarshalPhilippe,Three,6
May,Scandinavian,6
Mikhail,U.S.,5
Mikhail,theBerlin,6
Moon,andApolloprograms,6
Moscow,Soviet,11
Moscow,Stalin,5
Moscow,the,5
Moscow.[67],Mussolini,5
MozambiqueandSão,the,6
Mussolini,North,6
Mussolini,Russian,5
Mutually,the,5
Nagasaki,second,6
Nagasaki,two,5
Nationsto,World,6
Nationsto,theLeague,6
Navydefeated,theBattle,6
Nazi,Nazis,6
Nazi,Norway,5
Nazi,Soviet,6
Nazi,Swedishoreto,6
Nazi,World,6
Nazi,only,6
Nazi,seeHuman,6
Nazi,the,6
Nazis,Poland,6
Nazis,theNuremberg,12
Netherlands,andLuxembourg,6
New,theDutch,6
Nixon,South,6
Normandy,Paris,6
North,Rommel,6
North,South,12
North,The,5
North,U.S.,18
North,theParis,6
Norway,Swedishoreto,6
Norway,a,6
Okinawa,forOperation,6
Okinawa,useKadena,6
One,The,4
One,between,5
Operation,Truman,6
Over,Soviet,6
Over,Stalin,5
Overlord,Stalin,5
Overlord,the,6
Pacific,approximately,6
Pacific,first,6
Pacific,one,6
Pacific,theBattle,6
Pacific,theMukden,6
Pacific,thePhilippines,6
Paris,only,6
People's,theKorean,6
Poland,Romania,6
Poland,Soviets,6
Poland,hisBlitzkrieg,6
Poland,negligible.[39]Sixteen,12
Poland,the,6
Poland,thePhony,6
Poland,theSoviet,6
Poland,theThird,6
Polish,only,6
Polish-Soviet,Soviets,6
Prague,Vienna,6
PresidentRichard,ThisNixon,5
Projectto,first,5
Projectto,the,6
Rome,fallen.[79,6
Rommel,The,5
Rommel,the,6
Rommel,theMiddle,6
Russia,US,6
Russia,the,6
Russia,theSoviet,6
Russia,theUnited,6
Russian,early,6
SSRand,theByelorussian,6
SSRand,theLatvian,6
San,World,4
Scandinavian,six,6
SecretaryJoseph,USSR,6
SecretaryJoseph,theSoviet,6
September,The,6
Socialist,the,6
Socialist,theByelorussian,5
Sofia,Soviet,6
South,The,6
South,U.S.,6
South,one,6
South,peninsula.[199]North,6
Soviet,Stalin,6
Soviet,U-2spy,6
Soviet,U.S.,12
Soviet,Western,12
Soviet,between,11
Soviet,first,6
Soviet,four,6
Soviet,one,12
Soviet,several,6
Soviet,the,12
Soviet,theBerlin,6
Soviet,theMoldavian,6
Soviet,two,6
Soviet,war.[42]Stalin,6
Sovietsatellite,the,6
Spanish,World,1
Spanish,the,1
Speech,next,6
Speech,the,6
Squadron,Tinian,6
Squadron,the,6
Stalin,one,6
Stalin,socialists,6
Stalin,theMolotov,5
Stalin,theSoviet,10
The,Tsarist,6
The,WWI,12
The,World,5
The,barringPearl,6
The,the,25
The,thePhilippines,6
The,two,5
The20th,TheWorld,1
The20th,the,1
TheCuban,a,6
TheCuban,theCold,6
TheSino-Soviet,USSR,6
TheSino-Soviet,theSoviet,5
TheWorld,Warled,2
Thegraphical,at,3
Thegraphical,thousands,2
Three,second,6
Tokyo,dozens,6
Truman,U.S.,6
Tsar,the,6
Two,the,6
U-2spy,WhenLockheed,6
U.S.,barringPearl,6
U.S.,first,6
U.S.,itsMercury,6
U.S.,last,6
U.S.,territory.[165]The,6
U.S.,the,12
U.S.,theParis,6
US,first,6
USA,more,6
USA,the,6
USSR,World,6
USSR,first,6
USSR,several,6
USSR,the,6
USSR,two,6
United,intervention.[200]GeneralDouglas,6
United,this,6
V-1,V-2,6
V-1,first,5
Versailles,the,6
Vietnam,two,6
Warled,today,2
West,one,6
West,theBattle,6
West,third,6
Western,the,12
Western,theMarshall,6
Western,thecommunistSoviet,6
Western,two,6
Winston,andJoseph,6
World,at,6
World,first,6
World,the,35
World,theFrench,5
World,two,5
a,first,6
a,the,17
andJoseph,the,6
andLuxembourg,theMaginot,6
approximately,at,6
architecture.[246][247]Microsoft,releasedPC,6
byGavrilo,theYoung,6
carriers.[113]In,later,6
early,theBattle,6
early,three,6
first,generalErwin,6
first,the,39
first,theGreat,5
first,theIron,5
first,theKorean,6
first,theMoon(Luna,12
first,theTrinity,6
forOperation,theJapanese,6
from,"history"".[80]The",6
half,the,6
includingHermann,theTokyo,5
intervention.[200]GeneralDouglas,the,6
itsIBM,theApple,6
later,theVenera,5
millions,the,6
next,theU.S.,6
nine,the,5
nine,today,6
numerousprobesinto,the,6
numerousprobesinto,theVenera,6
ofUnited,the,6
one,only,6
one,peninsula.[199]North,6
one,socialists,5
one,theBattle,6
only,the,6
only,theJapanese,6
second,theVietnam,6
six,the,6
state.[27]These,two,6
tens,the,5
territory.[165]The,theSoviet,6
the,theBattle,12
the,theBritish,6
the,theInternational,12
the,theMiddle,5
the,theNuclear,6
the,thePanama,5
the,thePhony,6
the,theSoviet,22
the,third,6
the,today,3
the,two,11
theApple,thousands,6
theCentral,theRussian,6
theDutch,theSolomon,6
theEstonian,theKarelo-Finnish,6
theEstonian,theLatvian,6
theHolocaustAdolf,theSpanish,5
theKarelo-Finnish,theMoldavian,6
theLeague,theTokyo,5
theMarco,theSecond,6
theNigerian,theSecond,6
theNorth,two,6
theSoviet,theUnited,6
theSoviet,two,6
theUnited,today,6
theVietnam,third,6
